************************************************************************************************************
Task  0
************************************************************************************************************
0.1
| Epoch   1, time= 40.6s | Train: skip eval | Valid: time=  2.9s loss=2.964, TAw acc= 21.1% |
| Epoch   2, time= 40.1s | Train: skip eval | Valid: time=  2.7s loss=2.713, TAw acc= 26.7% |
| Epoch   3, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=2.281, TAw acc= 36.1% |
| Epoch   4, time= 40.1s | Train: skip eval | Valid: time=  2.6s loss=1.994, TAw acc= 44.3% |
| Epoch   5, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=1.843, TAw acc= 46.9% |
| Epoch   6, time= 40.3s | Train: skip eval | Valid: time=  2.6s loss=1.701, TAw acc= 49.4% |
| Epoch   7, time= 40.3s | Train: skip eval | Valid: time=  2.5s loss=1.568, TAw acc= 52.9% |
| Epoch   8, time= 40.4s | Train: skip eval | Valid: time=  2.5s loss=1.607, TAw acc= 53.0% |
| Epoch   9, time= 40.4s | Train: skip eval | Valid: time=  2.8s loss=1.475, TAw acc= 56.8% |
| Epoch  10, time= 40.4s | Train: skip eval | Valid: time=  2.6s loss=1.523, TAw acc= 55.9% |
| Epoch  11, time= 40.7s | Train: skip eval | Valid: time=  2.8s loss=1.392, TAw acc= 58.6% |
| Epoch  12, time= 40.4s | Train: skip eval | Valid: time=  2.7s loss=1.317, TAw acc= 61.5% |
| Epoch  13, time= 40.5s | Train: skip eval | Valid: time=  2.6s loss=1.338, TAw acc= 59.5% |
| Epoch  14, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=1.313, TAw acc= 61.4% |
| Epoch  15, time= 40.3s | Train: skip eval | Valid: time=  2.7s loss=1.288, TAw acc= 60.2% |
| Epoch  16, time= 40.6s | Train: skip eval | Valid: time=  2.7s loss=1.414, TAw acc= 59.4% |
| Epoch  17, time= 40.3s | Train: skip eval | Valid: time=  2.7s loss=1.286, TAw acc= 61.8% |
| Epoch  18, time= 40.2s | Train: skip eval | Valid: time=  2.7s loss=1.228, TAw acc= 63.9% |
| Epoch  19, time= 40.0s | Train: skip eval | Valid: time=  2.8s loss=1.238, TAw acc= 63.5% |
| Epoch  20, time= 40.5s | Train: skip eval | Valid: time=  2.7s loss=1.316, TAw acc= 61.4% |
| Epoch  21, time= 40.2s | Train: skip eval | Valid: time=  2.9s loss=1.434, TAw acc= 58.4% |
| Epoch  22, time= 40.2s | Train: skip eval | Valid: time=  3.0s loss=1.204, TAw acc= 64.4% |
| Epoch  23, time= 40.2s | Train: skip eval | Valid: time=  2.9s loss=1.147, TAw acc= 65.7% |
| Epoch  24, time= 40.2s | Train: skip eval | Valid: time=  3.0s loss=1.246, TAw acc= 63.4% |
| Epoch  25, time= 40.7s | Train: skip eval | Valid: time=  3.0s loss=1.187, TAw acc= 64.7% |
| Epoch  26, time= 40.4s | Train: skip eval | Valid: time=  3.1s loss=1.184, TAw acc= 64.8% |
| Epoch  27, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=1.267, TAw acc= 62.8% |
| Epoch  28, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=1.287, TAw acc= 62.7% |
| Epoch  29, time= 40.4s | Train: skip eval | Valid: time=  2.8s loss=1.187, TAw acc= 65.0% |
| Epoch  30, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=1.295, TAw acc= 61.9% |
| Epoch  31, time= 40.2s | Train: skip eval | Valid: time=  2.9s loss=1.227, TAw acc= 64.0% |
| Epoch  32, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=1.176, TAw acc= 65.0% |
| Epoch  33, time= 40.7s | Train: skip eval | Valid: time=  2.7s loss=1.232, TAw acc= 63.9% |
| Epoch  34, time= 40.6s | Train: skip eval | Valid: time=  2.6s loss=1.153, TAw acc= 66.6% |
| Epoch  35, time= 40.2s | Train: skip eval | Valid: time=  2.7s loss=1.239, TAw acc= 63.8% |
| Epoch  36, time= 40.3s | Train: skip eval | Valid: time=  2.6s loss=1.152, TAw acc= 65.6% |
| Epoch  37, time= 40.2s | Train: skip eval | Valid: time=  2.9s loss=1.138, TAw acc= 66.6% |
| Epoch  38, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=1.151, TAw acc= 65.7% |
| Epoch  39, time= 40.4s | Train: skip eval | Valid: time=  3.1s loss=1.163, TAw acc= 65.8% |
| Epoch  40, time= 40.3s | Train: skip eval | Valid: time=  2.6s loss=1.207, TAw acc= 64.9% |
| Epoch  41, time= 40.0s | Train: skip eval | Valid: time=  2.8s loss=1.191, TAw acc= 65.1% |
| Epoch  42, time= 40.4s | Train: skip eval | Valid: time=  2.8s loss=1.140, TAw acc= 66.5% |
| Epoch  43, time= 40.4s | Train: skip eval | Valid: time=  2.7s loss=1.134, TAw acc= 66.3% |
| Epoch  44, time= 40.3s | Train: skip eval | Valid: time=  2.7s loss=1.227, TAw acc= 64.2% |
| Epoch  45, time= 40.5s | Train: skip eval | Valid: time=  2.7s loss=1.173, TAw acc= 65.9% |
| Epoch  46, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=1.117, TAw acc= 66.9% |
| Epoch  47, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=1.269, TAw acc= 63.8% |
| Epoch  48, time= 40.5s | Train: skip eval | Valid: time=  2.7s loss=1.125, TAw acc= 66.6% |
| Epoch  49, time= 40.3s | Train: skip eval | Valid: time=  2.9s loss=1.349, TAw acc= 62.5% |
| Epoch  50, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=1.109, TAw acc= 67.6% |
| Epoch  51, time= 40.2s | Train: skip eval | Valid: time=  3.0s loss=1.220, TAw acc= 64.6% |
| Epoch  52, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=1.092, TAw acc= 68.1% |
| Epoch  53, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=1.126, TAw acc= 67.5% |
| Epoch  54, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=1.207, TAw acc= 65.5% |
| Epoch  55, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=1.231, TAw acc= 64.1% |
| Epoch  56, time= 40.3s | Train: skip eval | Valid: time=  3.0s loss=1.103, TAw acc= 68.1% |
| Epoch  57, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=1.097, TAw acc= 67.3% |
| Epoch  58, time= 40.7s | Train: skip eval | Valid: time=  2.9s loss=1.232, TAw acc= 65.2% |
| Epoch  59, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=1.184, TAw acc= 66.1% |
